--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
067.091  000.003  000.003: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
067.102  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
067.342  000.019  000.019: sourcing /home/ususstudios/.local/share/nvim/lazy/nvim-bufdel/plugin/bufdel.vim
067.345  000.046  000.027: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
067.349  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
067.358  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
067.523  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
067.530  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
068.014  000.061  000.061: require('ibl.utils')
068.019  000.118  000.057: require('ibl.config')
068.102  000.041  000.041: require('ibl.indent')
068.106  000.086  000.045: require('ibl.hooks')
068.108  000.246  000.043: require('ibl.highlights')
068.143  000.034  000.034: require('ibl.autocmds')
068.179  000.035  000.035: require('ibl.inlay_hints')
068.215  000.035  000.035: require('ibl.virt_text')
068.408  000.163  000.163: require('ibl.scope_languages')
068.410  000.194  000.030: require('ibl.scope')
068.415  000.871  000.326: require('ibl')
068.868  000.058  000.058: require('vim.lsp.log')
069.279  000.408  000.408: require('vim.lsp.protocol')
069.464  000.182  000.182: require('vim.lsp.util')
069.551  000.037  000.037: require('vim.lsp.sync')
069.556  000.087  000.050: require('vim.lsp._changetracking')
069.691  000.063  000.063: require('vim.lsp._transport')
069.703  000.146  000.083: require('vim.lsp.rpc')
069.759  001.135  000.254: require('vim.lsp')
069.971  000.132  000.132: require('vim.lsp.completion')
070.105  000.341  000.209: require('vim.lsp.handlers')
070.346  000.003  000.003: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
070.355  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
071.004  000.646  000.646: require('mini.animate')
071.452  000.003  000.003: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
071.460  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
071.670  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
071.677  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
071.684  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
071.691  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
072.293  000.150  000.150: require('null-ls.utils.tbl_flatten')
072.305  000.279  000.129: require('null-ls.utils')
072.371  000.399  000.120: require('null-ls.config')
072.469  000.046  000.046: require('null-ls.helpers.cache')
072.509  000.038  000.038: require('null-ls.helpers.check_exit_code')
072.587  000.077  000.077: require('null-ls.helpers.diagnostics')
072.628  000.039  000.039: require('null-ls.helpers.formatter_factory')
072.768  000.063  000.063: require('null-ls.logger')
072.839  000.070  000.070: require('null-ls.state')
072.843  000.214  000.081: require('null-ls.helpers.generator_factory')
073.198  000.295  000.295: require('null-ls.helpers.command_resolver')
073.201  000.357  000.062: require('null-ls.helpers.make_builtin')
073.293  000.092  000.092: require('null-ls.helpers.range_formatting_args_factory')
073.295  000.922  000.059: require('null-ls.helpers')
073.520  000.112  000.112: require('null-ls.methods')
073.526  000.175  000.062: require('null-ls.diagnostics')
073.532  000.236  000.061: require('null-ls.sources')
073.587  000.052  000.052: require('null-ls.builtins')
073.589  001.896  000.287: require('null-ls')
074.184  000.003  000.003: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
074.197  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
074.621  000.081  000.081: require('mason-core.path')
075.054  000.091  000.091: require('mason-core.functional.data')
075.192  000.136  000.136: require('mason-core.functional.function')
075.286  000.085  000.085: require('mason-core.functional.list')
075.316  000.025  000.025: require('mason-core.functional.relation')
075.342  000.024  000.024: require('mason-core.functional.logic')
075.368  000.023  000.023: require('mason-core.functional.number')
075.409  000.038  000.038: require('mason-core.functional.string')
075.438  000.026  000.026: require('mason-core.functional.table')
075.463  000.023  000.023: require('mason-core.functional.type')
075.465  000.731  000.259: require('mason-core.functional')
075.485  000.835  000.104: require('mason-core.platform')
075.539  000.052  000.052: require('mason.settings')
075.542  001.073  000.104: require('mason-core.installer.InstallLocation')
075.651  000.052  000.052: require('mason-core.log')
075.653  000.077  000.025: require('mason-core.EventEmitter')
075.691  000.037  000.037: require('mason-registry.sources')
075.694  000.151  000.037: require('mason-registry')
075.696  001.486  000.262: require('mason')
075.907  000.061  000.061: require('mason.api.command')
075.913  002.269  000.719: require('mason-core.log')
075.940  000.026  000.026: require('mason-null-ls.automatic_setup')
075.942  002.352  000.057: require('mason-null-ls')
075.968  000.025  000.025: require('mason-null-ls.settings')
076.032  000.030  000.030: require('mason-null-ls.ensure_installed')
076.102  000.068  000.068: require('mason-core.async')
076.163  000.030  000.030: require('mason-core.async.control')
076.192  000.028  000.028: require('mason-core.result')
076.243  000.022  000.022: require('mason-core.async.uv')
076.246  000.053  000.032: require('mason-core.fs')
076.255  000.151  000.040: require('mason-registry.installer')
076.403  000.026  000.026: require('mason-core.optional')
076.515  000.058  000.058: require('mason-core.process')
076.548  000.031  000.031: require('mason-core.spawn')
